,words,phonetic,trans
0,ideological,"英[,aɪdɪəʊ'lɒdʒɪkəl]美[,aɪdɪə'lɑdʒɪkl]",adj.思想的；意识形态的
1,byword,英['baɪwɜːd]美,n.谚语，俗语；格言；笑柄
2,oppression,英[ə'preʃ(ə)n]美[ə'prɛʃən],n.压抑；镇压；压迫手段；沉闷；苦恼
3,limped,英[lɪmp]美[lɪmp],adj.柔软的，无力的；软弱的vi.跛行，一拐一拐地走；缓慢费力地前进n.跛行n.(Limp)人名；(英)林普
4,fringe,英[frɪn(d)ʒ]美[frɪndʒ],n.边缘；穗；刘海adj.边缘的；附加的vt.加穗于[过去式fringed过去分词fringed现在分词fringing]
5,turgid,英['tɜːdʒɪd]美['tɝdʒɪd],adj.肿胀的；浮夸的；浮肿的
6,liturgy,英['lɪtədʒɪ]美,n.礼拜仪式；圣餐仪式；祷告文[复数liturgies]
7,democratic,英[demə'krætɪk]美['dɛmə'krætɪk],adj.民主的；民主政治的；大众的
8,sensation,英[sen'seɪʃ(ə)n]美[sɛnˈseʃən],n.感觉；轰动；感动
9,veers,n.方向的改变（veer的复数）v.转向（veer的第三人称单数）,
10,hardline,"[,ha:d'lain]",adj.强硬的；不妥协的n.强硬路线
11,incisive,英[ɪn'saɪsɪv]美[ɪn'saɪsɪv],adj.深刻的；敏锐的；锋利的
12,critique,英[krɪ'tiːk]美[krɪ'tik],n.批评；评论文章vt.批判；评论[过去式critiqued过去分词critiqued现在分词critiquing]
13,whereas,英[weər'æz]美['wɛr'æz],conj.然而；鉴于；反之[复数whereases]
14,chauvinism,英['ʃəʊv(ɪ)nɪz(ə)m]美['ʃovɪ'nɪzəm],n.沙文主义；盲目的爱国心
15,nostalgia,英[nɒ'stældʒə]美[nə'stældʒə],n.乡愁；怀旧之情；怀乡病
16,inequality,"英[ɪnɪ'kwɒlɪtɪ]美[,ɪnɪ'kwɑləti]",n.不平等；不同；不平均[复数inequalities]
17,briefing,英['briːfɪŋ]美['brifɪŋ],n.简报；作战指示v.概述；作…的摘要（brief的现在分词）
18,pessimism,英['pesɪmɪz(ə)m]美['pɛsɪmɪzəm],n.悲观，悲观情绪；厌世主义
19,naivety,英[naɪ'iːvtɪ;nɑː'iːvtɪ],n.无邪的行为；天真烂漫（等于naivete）
20,bureaucracies,英美,n.繁文褥节；官僚政治（bureaucracy的复数）
21,vitality,英[vaɪ'tælɪtɪ]美[vaɪ'tæləti],n.活力，生气；生命力，生动性[复数vitalities]
22,millennials,n.千禧世代；千禧之子；千禧一代（millennial的复数）,
23,gallup,['ɡæləp],vi.进行民意测验vt.对…进行民意测验
24,hard-left,美,坚定的左派
25,candidate,"英['kændɪdeɪt;-dət]美[ˈkændɪˌdet,-dɪt]",n.候选人，候补者；应试者
26,ferment,英[fə'ment]美[fɚ'mɛnt],n.发酵；酵素；动乱vi.发酵；动乱vt.使发酵；酝酿；使动乱n.(Ferment)人名；(法)费尔芒
27,nonetheless,英[nʌnðə'les]美['nʌnðə'lɛs],adv.尽管如此，但是
28,spiralled,None,None
29,rigged,[rɪgd],adj.作弊的，以不正当手段操纵的v.操纵，控制（rig的过去分词）；给（船等）装配帆；仓促安排
30,yearns,英[jɜːn]美[jɝn],vi.渴望，向往；思念，想念；怀念；同情，怜悯
31,myopia,英[maɪ'əʊpɪə]美[maɪ'opɪə],n.[眼科]近视；目光短浅，缺乏远见
32,lobbying,英['lɒbɪɪŋ]美,n.游说v.进行游说（lobby的ing形式）；对议员进行游说以影响其投票
33,catastrophe,英[kə'tæstrəfɪ]美[kə'tæstrəfi],n.大灾难；大祸；惨败
34,govern,英['gʌv(ə)n]美['ɡʌvɚn],vt.管理；支配；统治；控制vi.居支配地位；进行统治n.(Govern)人名；(英)戈文
35,dispute,英[dɪ'spjuːt;'dɪspjuːt]美['dɪs'pjʊt],vt.辩论；怀疑；阻止；抗拒vi.争论n.辩论；争吵[过去式disputed过去分词disputed现在分词disputing]
36,neglect,英[nɪ'glekt]美[nɪ'glɛkt],vt.疏忽，忽视；忽略n.疏忽，忽视；怠慢
37,bits,英美,abbr.二进制数字（Binarydigits）；后台智能传输服务（BackgroundIntelligentTransferService）；建设集成时序供应（BuildingIntegratedTimingSupply）
38,prescription,英[prɪ'skrɪpʃ(ə)n]美[prɪ'skrɪpʃən],n.药方；指示；惯例adj.凭处方方可购买的
39,inexorably,英美,adv.不可逆转地，不可阻挡地adv.无情地；冷酷地
40,refrain,英[rɪ'freɪn]美[rɪ'fren],vi.节制，克制；避免；制止n.叠句，副歌；重复
41,precarious,英[prɪ'keərɪəs]美[prɪˈkɛrɪəs],adj.危险的；不确定的[比较级moreprecarious最高级mostprecarious]
42,precariousness,[prɪ'kɛrɪəsnɪs],n.不安全；不稳定
43,steady,英['stedɪ]美['stɛdi],adj.稳定的；不变的；沉着的vi.稳固vt.使稳定；稳固；使坚定adv.稳定地；稳固地n.关系固定的情侣；固定支架[复数steadies比较级steadier最高级steadiest过去式steadied过去分词steadied现在分词steadying]
44,downturn,英['daʊntɜːn]美['daʊntɝn],n.衰退（经济方面）；低迷时期
45,shrivelled,['ʃrivld],adj.皱缩的v.使…束手无策（shrivel的过去式）
46,resents,英[rɪ'zent]美[rɪ'zɛnt],vt.怨恨；愤恨；厌恶
47,corporate-tax,[税收]公司税,
48,pessimistic,"英[,pesɪ'mɪstɪk]美[,pɛsɪ'mɪstɪk]",adj.悲观的，厌世的；悲观主义的[比较级morepessimistic最高级mostpessimistic]
49,profligate,英['prɒflɪgət]美[prɑfləɡɪt],adj.放荡的，不检点的；恣意挥霍的n.放荡者；享乐者
50,fiscal,英['fɪsk(ə)l]美['fɪskl],adj.会计的，财政的；国库的n.(Fiscal)人名；(法)菲斯卡尔
51,peddle,英['ped(ə)l]美['pɛdl],vt.叫卖；兜售；散播vi.沿街叫卖；忙于琐事n.(Peddle)人名；(英)佩德尔[过去式peddled过去分词peddled现在分词peddling]
52,quackery,英['kwækərɪ]美['kwækəri],n.庸医的医术；骗子的行为[复数quackeries]
53,revenue,neutral,收入中立收入中性
54,localist,英['ləʊkəlɪst]美,地方主义者
55,localism,"英['ləʊk(ə)lɪz(ə)m]美['lokl,ɪzəm]",n.有地方色彩，地方主义；方言
56,accountability,"英[ə,kaʊntə'bɪlɪtɪ]美[ə,kaʊntə'bɪləti]",n.有义务；有责任；可说明性
57,shining,英['ʃaɪnɪŋ]美['ʃaɪnɪŋ],adj.光亮的；华丽的v.闪烁（shine的ing形式）；发亮
58,nimbys,None,None
59,delegation,"英[delɪ'geɪʃ(ə)n]美[,dɛlɪ'ɡeʃən]",n.代表团；授权；委托
60,democratise,英[dɪ'mɒkrətaɪz]美,vt.使大众化（等于democratize）vi.民主化（等于democratize）[过去式democratised过去分词democratised现在分词democratising]
61,suspicion,英[sə'spɪʃ(ə)n]美[sə'spɪʃən],n.怀疑；嫌疑；疑心；一点儿vt.怀疑
62,ossify,英['ɒsɪfaɪ]美['ɑsɪfaɪ],vi.骨化；硬化；僵化vt.使硬化；使骨化；使僵化[过去式ossified过去分词ossified现在分词ossifying]
63,revival,英[rɪ'vaɪv(ə)l]美[rɪ'vaɪvl],n.复兴；复活；苏醒；恢复精神；再生效
64,shield,英[ʃiːld]美[ʃild],n.盾；防护物；保护者vt.遮蔽；包庇；避开；保卫vi.防御；起保护作用n.(Shield)人名；(英)希尔德
65,fought,英[fɔːt]美[fɔt],v.战斗（fight的过去分词）；打架
66,quo,英['kwəʊ]美[kwo],vt.说
67,incorruptibility,"[,ɪnkə,rʌptə'bɪləti]",n.清廉；不腐败；不能收买
68,unwarranted,英[ʌn'wɒr(ə)ntɪd]美[ʌn'wɔrəntɪd],adj.无根据的；无保证的
69,vim,英[vɪm]美[vɪm],n.精力，活力；精神，生气
